reference	book	chapter	count	min_confidence	surfaces	pages	confirmed
Joh 6	Johannes	6	94	0.857	Johannis am 6. Cap. (13) | Johannis am 6. Capitel (12) | Johannis am 6. Capitel. (9) | Johannis am 6. (8) | Johannes am vi cap (6) | Johannis 6. (6)	a_v_1447_schlussredaktion:25,151,169,221,336,354,360,362,380,383,388,389; druck_1608_bern:245,258,260,261,262,275,279,280,281,283,307,314; druck_1608_zuerich:247,260,262,263,264,277,281,282,283,285,309,316	
Mt 16	Matthäus	16	77	0.857	Matth. 16. (10) | Matth. am 16. Cap. (8) | Matthei am 16.cap. (5) | Matth. am 16. (5) | Matth. 16. cap. (4) | Matth. am 16. cap. (4)	a_v_1443_hertwig:10,55,56; a_v_1445_schoeni:16,40,59; a_v_1446_ruemlang:13,31,40,51; a_v_1447_schlussredaktion:78,203; druck_1608_bern:38,56,62,63,73,74,145,148,149,155,228,244; druck_1608_zuerich:40,58,64,65,75,76,147,150,151,157,230,246; druck_1701:26,32,40,43,48,50	
Joh 20	Johannes	20	71	0.857	Johannis am 20. Capitel (5) | Johannis am 20. Capitel. (5) | Johannis am 20. Cap. (4) | Johannis xx (3) | Johannis am xx. (3) | Johannis 20 (2)	a_v_1443_hertwig:55,56,57; a_v_1447_schlussredaktion:65,80,212,214,219,220,410,420; druck_1528:55,119,122,123,124,127,254,256,258,264; druck_1528_04:58,70,146,149,150,305,306,307; druck_1608_bern:74,153,293,295,297,304,305; druck_1608_zuerich:76,155,295,297,299,306,307; druck_1701:48,59	
Eph 5	Epheser	5	53	0.857	Eph. 5. (4) | zun Epheſ. 5. cap. (3) | Epheſ. am 5. (3) | Epheſern am v. (2) | zun Epheſern am v. (2) | Epheſ. 5. (2)	a_v_1444_cyro:12; a_v_1446_ruemlang:14,38; a_v_1447_schlussredaktion:32,195,232; druck_1528:22,132,133,142,143,172,251; druck_1528_04:33,41,47,160,161,170,172,204,291; druck_1608_bern:38,39,46,159,160,169,171,203,289; druck_1608_zuerich:40,41,48,161,162,171,173,205,291; druck_1701:26,33,47,119,137,138,147,148,178,257,592	
1 Tim 3	1 Timotheus	3	47	0.909	"Timoth. 3. (9) | Timoth. am 3. (6) | zun Timoth.
am 3. (3) | zun Timotheon am
3. cap. (2) | zum Timotheo am 3. cap. (2) | zum Timotheo 3. cap. (2)"	druck_1608_bern:98,164,165,173,192,203,212,215,216,450,538,540; druck_1608_zuerich:100,166,167,175,194,205,214,217,218,452,540,542; druck_1701:80,142,144,152,179,187,189,190,403,479,482,486	
Mt 18	Matthäus	18	44	0.889	Matth. am 18. (5) | Matth. am 18. Cap. (5) | Matth. am 18. cap. (4) | Matth.am 18.cap. (3) | Matth. 18. cap. (2) | Matthei 18. cap. (2)	a_v_1447_schlussredaktion:88,220; druck_1608_bern:77,80,82,88,105,107,122,146,149,153,220,221; druck_1608_zuerich:79,82,84,90,107,109,124,148,151,155,222,223; druck_1701:62,65,66,71,86,88,103,125,129,132,195,551	
Mt 5	Matthäus	5	44	0.889	Mathei. v. (6) | Matthei am 5. (5) | Matth. 5. (3) | Matth. v. (2) | Matthei. v. (2) | Matthei am v. capitel. (2)	a_v_1447_schlussredaktion:329,686,687,688,726; druck_1528:198,203,447,468; druck_1528_04:238,513,514,537,545; druck_1608_bern:236,515,540,548; druck_1608_zuerich:238,517,542,550,644,689,746,748; druck_1701:209,210,460,461,462,482,488,528,584,586	
Röm 8	Römer	8	42	0.909	"Rom. 8. (8) | zun Roͤmern am 8. cap. (4) | zun Roͤmern 8.
cap. (2) | zun Roͤmern am 8. (2) | zun Römern am 8. Capitel. (2) | zun Roͤmern am 8. Cap. (2)"	druck_1608_bern:39,113,115,124,234,238,341,368,391,498; druck_1608_zuerich:41,115,117,126,236,240,343,370,393,500,506,706; druck_1701:27,80,83,94,96,105,208,211,305,330,351,447	
Eph 4	Epheser	4	34	0.857	"Eph. 4. (6) | zun
Epheſ. am 4.cap. (2) | zun Epheſeren am 4. capit. (2) | zun
Epheſ.am 4. (2) | zun Epheſ. am 4. cap. (2) | zun Ephſern am 4. Capit. (2)"	a_v_1443_hertwig:32; a_v_1444_cyro:12; a_v_1446_ruemlang:14; a_v_1447_schlussredaktion:189; druck_1608_bern:38,44,133,134,154,158,502,558; druck_1608_zuerich:40,46,135,136,156,160,504,560,746; druck_1701:26,32,114,133,136,448,498,584,592	
1 Kor 10	1 Korinther	10	32	0.9	"zun Corinth. am 10. Cap. (6) | Corinth. 10. (3) | Corinth. x. (2) | zun Corinth. am x. (2) | zun Corinth.am 10.cap. (2) | zun Corinth.
am 10. (2)"	a_v_1447_schlussredaktion:329; druck_1528:254,255,261,263,460,472; druck_1528_04:238,257,295,300,302,527,542; druck_1608_bern:186,236,293,295,303,320,530; druck_1608_zuerich:188,238,295,297,305,322,532; druck_1701:163,209,263,486	
Jes 55	Jesaja	55	31	0.909	"Eſaie am 55. Cap. (6) | Eſaie am lv. (3) | Eſa. 55. (3) | Eſaie am 55. (2) | Eſaie am 55. capit. (2) | Eſaie am 55.
Capitel. (2)"	a_v_1444_cyro:12; a_v_1447_schlussredaktion:462; druck_1528:160,226,290,291,292; druck_1528_04:34,190,263,335,336,337; druck_1608_bern:39,189,262,333,334,336; druck_1608_zuerich:41,191,264,335,336,338; druck_1701:26,166,233,298,299,300	
Mt 24	Matthäus	24	31	1.0	"Matth. am 24. (9) | Matth.am 24. (3) | Matth.am
24. (2) | Matthei am 24.
Cap. (2) | Matthei am 24. Capitel. (2) | Matthei
am 24. (2)"	a_v_1447_schlussredaktion:659; druck_1608_bern:191,196,226,256,371,396,443,444,448,494; druck_1608_zuerich:193,198,228,258,373,398,445,446,450,496; druck_1701:167,173,200,227,332,356,397,401,441	
Apg 15	Apostelgeschichte	15	29	0.857	Actorum am 15. (3) | Act. 15. (3) | Actuum am xv. (2) | Actorum xv. (2) | Actorum am xv. (2) | Act. 15. cap. (2)	a_v_1446_ruemlang:56; a_v_1447_schlussredaktion:69,292,298,318; druck_1528:173,178,384; druck_1528_04:63,205,210,230; druck_1608_bern:67,203,228,441; druck_1608_zuerich:69,205,230,443,756,817; druck_1701:53,179,184,202,396,594,657	
Apg 5	Apostelgeschichte	5	27	0.857	Actorum 5. (8) | Actorum. v. (4) | Actorum v. (3) | Actozum. v. (2) | Actorum am 5. (2) | Actum 5. (1)	a_v_1446_ruemlang:55; a_v_1447_schlussredaktion:69,716,731,733; druck_1528:47,205,479,480; druck_1528_04:62,550,552; druck_1608_bern:539,552,554; druck_1608_zuerich:541,554,556,607; druck_1701:493,494,495	
Hebr 5	Hebräer	5	26	0.857	zun Hebreern am 5. (3) | Hebreern am 5. (3) | breern am 5. (3) | Hebreos. v. (2) | zun Hebreern am v. (2) | zun Hebreern am 5. Capitel (2)	a_v_1447_schlussredaktion:569,611,612; druck_1528:357,360,378,393,480; druck_1528_04:413,453,454; druck_1608_bern:411,453,454; druck_1608_zuerich:413,455,456; druck_1701:368,406,440	
Röm 15	Römer	15	26	0.909	"zun Roͤmern am 15. (4) | Rom. xv. (2) | Roͤm. 15. (2) | Romanos. xv (1) | zun Römern xv. (1) | zun
Römern am xv. capitel (1)"	a_v_1447_schlussredaktion:599; druck_1528:135,259,267,359,383,485; druck_1528_04:164,300,559; druck_1608_bern:163,298,308,413,441,560; druck_1608_zuerich:165,300,310,415,443,562; druck_1701:56,266,274,499	
1 Kor 5	1 Korinther	5	25	0.9	Corinth. 5. Cap. (3) | Corinth. v. cap. (2) | Corinth. v. capitel (2) | Corinth.5. cap. (2) | zun Corinth. am 5. Capitel. (2) | Corinth. am 5. Capitel (2)	a_v_1447_schlussredaktion:95,329,737; druck_1528:158,203,268,281,482; druck_1528_04:78,238,324,387,389,555; druck_1608_bern:236,371,386,557; druck_1608_zuerich:238,373,388,559,571; druck_1701:209,288	
Eph 2	Epheser	2	25	0.857	"Eph. 2. (7) | zun Epheſern am 2. (3) | zun Epheſern am
2. (2) | zun
Epheſern am 2. (2) | zun
Ephesern am 2. (2) | Epheſ. 2. (2)"	a_v_1447_schlussredaktion:347,576,626; druck_1608_bern:253,418,462,463; druck_1608_zuerich:255,420,464,465,591,701,747,751,790; druck_1701:225,375,414,540,585,589,630	
Lk 22	Lukas	22	25	0.889	Luce am 22. (6) | Luc. 22. (3) | Luce am xxii cap (3) | Luc. am 22. (3) | Luce am 22. cap. (2) | Luce 22. Cap. (2)	a_v_1446_ruemlang:40,49; a_v_1447_schlussredaktion:264,389,402; druck_1608_bern:182,262,280,289,461; druck_1608_zuerich:184,264,282,291,463,772,774; druck_1701:40,48,160,233,249,257,413,611	
Ex 12	Exodus	12	24	1.0	"Exodi am 12. Cap. (5) | Exodi am 12. Capitel (3) | Exodi am 12. (3) | Exodi. 12. (2) | Exodi am 12.
Cap. (2) | Exodi 12. (2)"	a_v_1447_schlussredaktion:436; druck_1608_bern:290,315,322,357,362,372,430,433; druck_1608_zuerich:292,324,359,364,374,432,435; druck_1701:258,281,288,319,324,333,385,388	
Kol 2	Kolosser	2	24	0.87	"zun Coloſ.2. (3) | Coloſſenſ. am 2. (2) | Coloſſ. am
2. (2) | zun Coloſſ. am 2. capit. (2) | zun Coloſſenſern 2. cap. (2) | zun Coloſſen. am 2. Capitel (2)"	a_v_1447_schlussredaktion:338; druck_1608_bern:191,202,205,228,231,234,350,375; druck_1608_zuerich:193,204,207,230,233,236,352,377,592; druck_1701:148,168,178,181,205,314	
Mt 15	Matthäus	15	24	0.857	Matth.am 15. (3) | Matthei am 15. Capitel. (3) | Matthei am xv. (2) | Matthei xv. (2) | Matthei 15. (2) | Matth 15. (2)	a_v_1447_schlussredaktion:726; druck_1528:161,185,405,475; druck_1528_04:191,218,465,545; druck_1608_bern:190,216,466,548; druck_1608_zuerich:192,218,468,550,686,745; druck_1701:191,417,489,524,583	
Hebr 10	Hebräer	10	23	0.889	zun Hebreern am x. (3) | Hebreern am 10. Capitel (3) | breern am 10. (2) | zun Hebreern 10. (2) | zun Hebreern am 10. (2) | zum hebreern am x cap (1)	a_v_1447_schlussredaktion:453; druck_1528:284,374; druck_1528_04:328,412,416,431,551; druck_1608_bern:414,430,435,553; druck_1608_zuerich:412,416,432,437,555; druck_1701:291,368,371,385,390,494	
1 Tim 5	1 Timotheus	5	22	0.842	Timoth. 5. (5) | Timoth. v. (3) | Timoth. am 5. cap. (2) | zum Timotheum am 5. (2) | Timothei 5. (2) | thamotheum. v. (1)	a_v_1447_schlussredaktion:724,726; druck_1528:188,473,478; druck_1528_04:221,544,547,549; druck_1608_bern:220,546,548,550,552; druck_1608_zuerich:222,548,550,552,554; druck_1701:194,489,492	
Eph 1	Epheser	1	22	0.857	"Epheſ. 1. (4) | Zun Epheſ. 1. (3) | Eph. 1. (2) | zun
Epheſern am 1.cap. (2) | zum Ephesernn am 1 cap (1) | Ephesios. i. (1)"	a_v_1447_schlussredaktion:246,283,406; druck_1528:27; druck_1608_bern:44,170,172,195; druck_1608_zuerich:46,172,174,197,710,711,754; druck_1701:31,148,150,171,260,548,549	
Hebr 9	Hebräer	9	22	0.923	"zun Hebreern 9. (4) | Hebreern am 9. (3) | breern am ix. cap. (2) | zun Hebreern am 9.
cap. (2) | zun Hebreern am 9. Capit. (2) | zun Hebreern am 9. (2)"	a_v_1447_schlussredaktion:96; druck_1528:301,373,462,477; druck_1528_04:348,430,548; druck_1608_bern:83,346,429,532,550; druck_1608_zuerich:85,348,431,534,552; druck_1701:310,384,475,491	
1 Tim 4	1 Timotheus	4	21	0.875	"Timoth. am 4. (4) | Timoth. 4. (3) | zum Timoth.
am 4. (3) | Timot. am 4. (2) | Timothei 4. (2) | thimotheo iiii cap (1)"	a_v_1447_schlussredaktion:123,281; druck_1608_bern:221,223,227,230,538,543; druck_1608_zuerich:223,225,229,232,540,545; druck_1701:195,196,198,201,204,480,484	
Lk 10	Lukas	10	21	1.0	Luce x. (3) | Luce am 10. (3) | Luc.10. (2) | Luc.am 10. (2) | Luc. am 10. cap. (2) | Luc. 10. (2)	druck_1528:194,195,196,457; druck_1528_04:228,229,230,525; druck_1608_bern:226,228,229,527; druck_1608_zuerich:228,230,231,529; druck_1701:200,202,203,205,471	
Lk 16	Lukas	16	21	1.0	Luce am 16. (10) | Luc.am 16. (2) | Luce 16. (2) | Luc. 16. (2) | Luce am xvi cap (1) | Luce am 16. cap. (1)	a_v_1447_schlussredaktion:242; druck_1608_bern:166,190,413,478,479; druck_1608_zuerich:168,192,415,480,481,816; druck_1701:144,167,371,427,428,657	
Mt 17	Matthäus	17	21	0.857	"Matth. am 17. (4) | Matthei am 17. Cap. (3) | Matth.am 17. (2) | Matthei
am 17. capitel (2) | Matth. 17. (2) | Matth. am 17. Cap. (2)"	a_v_1443_hertwig:54; a_v_1447_schlussredaktion:209; druck_1608_bern:189,234,257,292,339,463; druck_1608_zuerich:191,236,259,294,341,465; druck_1701:47,166,207,228,260,303,414	
Mt 19	Matthäus	19	21	0.889	Matthei am 19. (3) | Matth. am 19. (2) | Matthei 19. (2) | Matth. 19. (2) | Matthei am xix. capit. (1) | Matth. am xix. (1)	druck_1528:223,438,465,472; druck_1528_04:502,534,542; druck_1608_bern:258,505,537,544; druck_1608_zuerich:260,507,539,546,821; druck_1701:229,451,479,486,662	
Mt 25	Matthäus	25	21	1.0	"Matth. 25. (4) | Matth. xxv. (3) | Matth. am 25. (3) | Mathei. xxv. (2) | Matth.xxv (2) | Matth. 25.
Capit. (2)"	a_v_1447_schlussredaktion:336,706; druck_1528:416,460; druck_1528_04:244,478,527,528; druck_1608_bern:242,480,530,531; druck_1608_zuerich:244,482,532,533; druck_1701:215,429,473,474	
Apg 2	Apostelgeschichte	2	20	0.857	Actorum am 2. Capitel (3) | Act. 2. (3) | Act. am 2. cap. (2) | Act.2. (2) | Actorum am 2. Capit. (2) | Actorum am 2. Capitel. (2)	a_v_1446_ruemlang:56; a_v_1447_schlussredaktion:296; druck_1608_bern:67,194,316,317,373; druck_1608_zuerich:69,196,318,319,375,596,607,789; druck_1701:53,171,282,334,629	
Gal 5	Galater	5	20	0.857	"Gal. 5. (4) | zun Galather am 5. Capit. (2) | Galathern am 5. (2) | zun Galathern am
5. (2) | Galathas. v. (1) | zun Galather
am v. Cap (1)"	a_v_1447_schlussredaktion:675; druck_1528:31,397; druck_1528_04:44,501; druck_1608_bern:48,457,504; druck_1608_zuerich:50,459,506,708,722,744; druck_1701:35,409,450,547,560,582	
Röm 10	Römer	10	20	0.857	"Rom. 10. (8) | Rom 10. (2) | zun Roͤm. am 10. (2) | zun Roͤmern
am 10. Capitel. (2) | Romanos 10. (1) | zum Romern am x. (1)"	a_v_1443_hertwig:12; a_v_1446_ruemlang:15; a_v_1447_schlussredaktion:344; druck_1528:216; druck_1528_04:35; druck_1608_bern:40,250,343; druck_1608_zuerich:42,252,345,693,744,763; druck_1701:27,223,307,531,582,602	
1 Kor 1	1 Korinther	1	19	0.9	Corinth. 1. (4) | Corinth.1. (3) | zun Corinth. am 1. Cap. (3) | zun Corinth. 1. (2) | Chrin 1 (1) | Cornithios. i. (1)	a_v_1446_ruemlang:49; a_v_1447_schlussredaktion:326; druck_1528:418; druck_1528_04:32; druck_1608_bern:40,115,233,418,482,544; druck_1608_zuerich:42,117,235,420,484,546; druck_1701:485	
1 Petr 1	1 Petrus	1	19	0.889	"Petr. 1. (4) | petri am 1 cap (2) | Petri am 1. (2) | Petri. 1. (2) | petri 1 (1) | petri
am 1 cap (1)"	a_v_1447_schlussredaktion:25,247,404,476; druck_1528:23; druck_1608_bern:40,170,218,483; druck_1608_zuerich:42,172,220,292,485; druck_1701:193,258,432,521,583	
Gal 3	Galater	3	19	0.857	"Gal. 3. (6) | zun Galath. 3. (2) | zun Galathern
am 3. Cap. (2) | zun
Galathern am 3. Cap. (2) | zun
Galathern am 3. (2) | zun Galathern am 3. (2)"	a_v_1446_ruemlang:35; druck_1608_bern:289,298,369,551; druck_1608_zuerich:291,300,371,553,714,725,791; druck_1701:258,265,331,492,551,562,631	
Röm 12	Römer	12	19	0.909	"zun Roͤmern am 12. (4) | zun Römern 12. (3) | Rom. 12. (3) | zun
Roͤmern am 12. (2) | Romanos am xii (1) | zum Roͤm. am 12. (1)"	a_v_1447_schlussredaktion:338; druck_1608_bern:414,441,531,553; druck_1608_zuerich:416,443,533,555,696,744; druck_1701:217,371,375,387,396,474,494,582	
Röm 5	Römer	5	19	0.909	Rom. 5. (7) | zun Römern am v. (3) | zun Roͤmern am 5. capit. (2) | zun Roͤmern am 5. (2) | Romanos. v. (1) | zun Roͤmern am v. cap. (1)	a_v_1447_schlussredaktion:694; druck_1528:163,453; druck_1528_04:194,264,329; druck_1608_bern:193,263; druck_1608_zuerich:195,265,598,701,744,790; druck_1701:233,467,540,582,630	
1 Kor 12	1 Korinther	12	18	0.875	"zun Corinth. 12. (3) | zun
Corinth. am 12. (2) | Corinth. 12. (2) | Corin. xii. (1) | Corint. xii.
cap. (1) | zun Corint.am 12. cap. (1)"	a_v_1447_schlussredaktion:633; druck_1528:133; druck_1608_bern:125,137,158,159,161,467,469; druck_1608_zuerich:127,139,160,161,163,469,471; druck_1701:138,420	
Joh 14	Johannes	14	18	0.857	Johannis am 14. (6) | Johannis am 14. Capitel (3) | Johannis am 14. Capit. (2) | Johannis am 14. cap. (2) | Johannis am xiiii. (1) | Ioan. am 14. (1)	a_v_1447_schlussredaktion:284; druck_1608_bern:338,339,462,463,502; druck_1608_zuerich:215,340,341,464,465,504,719; druck_1701:302,413,414,446,448	
Joh 5	Johannes	5	18	0.857	Johannis 5. (5) | Johannis am 5. Cap. (4) | Johannis v. (2) | Johannis am 5. Capitel (2) | fohannis. v. (1) | hannis am v. Capitel (1)	a_v_1447_schlussredaktion:695; druck_1528:330,454,459; druck_1528_04:518,521; druck_1608_bern:497,521,523,529; druck_1608_zuerich:499,523,525,531; druck_1701:444,466,468,472	
1 Kor 6	1 Korinther	6	17	0.875	"Corinth. 6. (6) | zun Corinth. 6. (3) | Corinth. am 6. (3) | zun Corinth. am 6. (2) | Corinth.
6. (2) | Corinther am 6. (1)"	druck_1608_bern:223,238,484,504,530,557; druck_1608_zuerich:225,240,486,506,532,559,620; druck_1701:197,211,433,473	
1 Tim 2	1 Timotheus	2	17	0.857	zun Timoth. am 2. (3) | zun Timotheo 2. (2) | zun Timoth.am 2.cap. (2) | Timoth. 2. (2) | motheo ii (1) | zum Timotheo 2. cap. (1)	a_v_1447_schlussredaktion:239; druck_1608_bern:122,164,193,463,481; druck_1608_zuerich:124,166,195,465,483; druck_1701:55,142,170,176,414,430	
Röm 13	Römer	13	17	0.909	zun Roͤmern am 13.cap. (5) | Rom. 13. (3) | Romern 13. (2) | zun Römern am 13. Cap. (2) | zum Romern am xiii cap (1) | Romern xiii. (1)	a_v_1447_schlussredaktion:261,593; druck_1608_bern:157,180,181,435; druck_1608_zuerich:159,182,183,437,639,826; druck_1701:157,158,390,667	
Joh 17	Johannes	17	16	0.875	"Johannis am 17. Capitel. (3) | Johannis am 17. Capit. (3) | Johannis
am 17. capitel. (2) | Johannis am 17. (2) | Johannis 17. Cap. (2) | Johannes am xvii (1)"	a_v_1447_schlussredaktion:246,549,639; druck_1608_bern:257,382,397,475; druck_1608_zuerich:259,384,399,477; druck_1701:343,356,425	
Mt 10	Matthäus	10	16	0.889	"Matth. 10. (6) | Matth. 10. cap. (2) | Matth.
10. (2) | Matthei x. (1) | Matthei am x (1) | Matth.x.cap. (1)"	druck_1528:167,211; druck_1528_04:62,232; druck_1608_bern:66,197,231; druck_1608_zuerich:68,199,233,696,748; druck_1701:174,205,534,587	
Mt 23	Matthäus	23	16	0.889	"Matth. am 23. (5) | Matth. 23. (5) | Mathei. xxiii. (2) | Mathei am xxiii. (1) | Matth 23. (1) | Matth. am
23. (1)"	a_v_1447_schlussredaktion:316,320,602; druck_1608_bern:189,229,231; druck_1608_zuerich:191,231,233,746,778; druck_1701:166,203,205,584,617	
Hebr 13	Hebräer	13	15	0.857	"zun Hebreern am 13. (3) | zun
Hebr. 13. cap. (2) | breeren am 13. capitel (2) | zun
Hebreern am 13. (2) | Febreos. xiii. (1) | Hebreern am 13. Cap. (1)"	a_v_1447_schlussredaktion:572; druck_1608_bern:161,170,414; druck_1608_zuerich:163,172,416; druck_1701:139,148,371,662	
Jes 19	Jesaja	19	15	1.0	Eſaia am 19. (3) | Esaie am 19. (2) | Eſa. am 19. (2) | Eſaie am xix. (1) | Eſaia am xix. (1) | Eſa. am xix. (1)	druck_1528:360,478,479; druck_1528_04:416,549,551; druck_1608_bern:414,552,553; druck_1608_zuerich:416,554,555; druck_1701:371,493,494	
Mt 7	Matthäus	7	15	0.857	"Matth. 7. (3) | Matthei 7. (2) | Matth. am 7.
cap. (2) | Matth. am 7. (2) | Matthri 7. (1) | Mathei
am vii cap (1)"	a_v_1443_hertwig:7; a_v_1447_schlussredaktion:467; druck_1608_bern:35,239,339; druck_1608_zuerich:37,241,341,692; druck_1701:23,212,303,531,551,585	
Spr 9	Sprüche	9	15	0.857	"Prouerbiorum am 9. (4) | Prouerb. 9. (2) | Prouerbiorum
9. (2) | Prouerbiorum am ix. (1) | uerbiorum am ix. (1) | Prouerbio.ix. (1)"	druck_1528:367; druck_1528_04:424,425,427; druck_1608_bern:422,423,425; druck_1608_zuerich:424,425,427; druck_1701:378,381	
Mt 12	Matthäus	12	14	1.0	"Matthei am 12. (5) | Matth.
am 12. capit. (2) | Matth. am 12. (2) | Matth. 12. (2) | Matthei 12 (1) | Mathei vvii (1)"	a_v_1443_hertwig:33; a_v_1447_schlussredaktion:214; druck_1608_bern:237,504,521,523; druck_1608_zuerich:239,506,523,525; druck_1701:210,450,466,468	
Mt 4	Matthäus	4	14	0.889	"Matth. am 4. (3) | Matth.
4.cap. (2) | Matth.am 4. cap. (1) | Matthei am
4.capitel (1) | Matth. am 4. cap. (1) | Matthei am
4. capitel (1)"	druck_1608_bern:147,152,224; druck_1608_zuerich:149,154,226,692; druck_1701:127,131,199,530	
Röm 3	Römer	3	14	0.909	Rom. 3. (8) | zun Roͤmern am 3. (6)	druck_1608_bern:241,242; druck_1608_zuerich:243,244,725,739,740,789; druck_1701:214,562,577,578,628	
