reference	book	chapter	count	min_confidence	surfaces	pages	confirmed
Lk 24	Lukas	24	10	1.0	Luc. 24. (5) | Luce am 24. (3) | Luce. 24. (1) | Luce 24. (1)	druck_1608_bern:460; druck_1608_zuerich:462,596,718,731,734; druck_1701:412,555,568,572	
Eph 3	Epheser	3	9	0.857	zun Epheſern am 3. Capit. (2) | Ephe 3. (1) | zun Epheſ. am 3. capit. (1) | zun Epheſ.am 3.capit. (1) | Epheſeren am 3.capitel (1) | zun Eph. am 3. Cap. (1)	a_v_1445_schoeni:16; druck_1608_bern:172,339; druck_1608_zuerich:174,341,771; druck_1701:150,303,610	
Ex 24	Exodus	24	9	1.0	"Exodi am 24. Capit. (4) | Exod. 24. (3) | Exodi am
24. Capitel (1) | Exodi am 24. Cap. (1)"	druck_1608_bern:224,345,346; druck_1608_zuerich:226,347,348; druck_1701:199,309	
Jes 63	Jesaja	63	9	0.909	Eſaias am 63. (3) | Eſaie 63. (2) | Eſaiam 63. cap. (1) | Esaiam 63. cap. (1) | Eſaiam am 63. Cap. (1) | Eſaie am 63. (1)	druck_1608_bern:235,409,477; druck_1608_zuerich:237,411,479; druck_1701:209,366,427	
Lk 12	Lukas	12	9	1.0	Luce 12. (2) | Luc. 12. (2) | Luc 12. (1) | Luce xii. (1) | Luce am 12. Cap. (1) | Luce am 12. (1)	a_v_1446_ruemlang:505; a_v_1447_schlussredaktion:744; druck_1608_bern:561; druck_1608_zuerich:563,771; druck_1701:462,500,610,613	
Mt 3	Matthäus	3	9	0.889	"Matth. 3. (3) | Mathei iii (2) | Matthei am
3. Cap. (2) | matt 3. (1) | Matthei am 3.
Cap. (1)"	a_v_1446_ruemlang:503,504; a_v_1447_schlussredaktion:211,219; druck_1608_bern:297; druck_1608_zuerich:299,688; druck_1701:264,526	
Spr 44	Sprüche	44	9	1.0	Spruch vil (6) | ſpruch vil (2) | spruch vil (1)	druck_1528:449; druck_1528_04:289,515; druck_1608_bern:288,517; druck_1608_zuerich:290,519; druck_1701:256,462	
Tit 2	Titus	2	9	0.857	Zum Tito 2. (4) | Tit. 2. (3) | Titum. ii. (1) | zum Tito am 2. (1)	a_v_1447_schlussredaktion:329; druck_1608_bern:235,236; druck_1608_zuerich:237,238,744,747; druck_1701:209,585	
1 Petr 2	1 Petrus	2	8	0.889	Petr. 2. (6) | Petri 2 Cap (1) | Petri am 2. Cap. (1)	a_v_1443_hertwig:54; druck_1608_bern:225,244; druck_1608_zuerich:227,246; druck_1701:413,538,608	
1 Thess 5	1 Thessalonicher	5	8	0.867	"Theſſalon. 5. (2) | Theſſalonichern
am 5. (2) | Theſſalo. v. (1) | Theſſal. v. (1) | Teſſalonichern. v. (1) | Theſſal. am 5. (1)"	druck_1528:444; druck_1528_04:510; druck_1608_bern:512,513; druck_1608_zuerich:514,515; druck_1701:458	
